"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"AC010969.1",0,1,0,1,1,1,0,4,1,2,7,2,0,1,0,1,110,1,4,2
"SRSF10",3683,2651,3311,5060,3143,2143,2134,5862,3028,3244,7505,12119,3351,3614,4869,18928,6790,5087,5475,4374
"HBA2",3565,10220,1169,14704,2344,1188,1959,601,1567,4705,225,446,13,82,418,116,553,474,1,41
"DUSP28",166,88,122,211,89,41,98,236,143,137,209,454,108,112,411,732,323,196,212,204
"CCDC9B",968,1333,1403,1680,1206,705,809,1913,1021,461,783,2937,342,255,1126,2098,2177,880,271,760
"NBR1",6524,6571,8928,13057,5729,3551,5676,11270,6085,5150,10828,16704,7100,2925,4992,17946,9842,6142,2680,7509
"OR2G6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,8,1
"RALGAPA2",5262,4839,4212,5862,3495,1719,3097,5072,3107,1590,6875,6364,2047,1077,3051,30708,11684,1855,2377,5951
"NDOR1",739,320,608,779,344,152,307,723,600,323,1338,1069,73,287,620,2514,1753,824,70,533
"FBLL1",5,1,2,8,3,0,5,6,3,3,28,3,0,22,6,14,1,4,3,1
"NKAIN2",0,0,3,13,1,0,8,2,6,2,3,2,4,3,3,0,18,0,23,5
"KRTAP1-1",0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0
"PAQR9",1,0,0,64,0,2,0,0,1,0,1,4,0,0,4,0,0,2,9,0
"CLEC20A",2,0,1,2,0,0,2,1,3,0,0,0,0,1,0,0,1,0,1,0
"CFAP54",23,36,61,271,156,19,50,415,84,32,166,40,103,42,118,257,92,239,142,341
"NPIPP1",51,64,53,161,49,16,39,106,33,21,178,141,25,34,152,624,72,43,15,71
"CLN3",109,44,56,99,44,26,49,114,54,18,86,213,27,6,104,54,32,87,137,47
"FAM72B",11,7,9,13,6,9,3,8,25,8,31,87,49,5,30,163,142,23,43,15
"ASAH2",13,6,18,40,25,7,14,20,16,22,11,49,27,36,12,136,157,5,40,18
"SUMO2",4382,3134,3909,6402,3031,2365,2583,6849,3712,6627,10518,9135,4385,4025,6555,9672,7833,5304,1425,3666
"NANOS1",45,36,128,106,34,9,51,108,45,52,156,373,104,181,125,105,202,103,51,166
"HMX3",2,2,1,7,0,1,0,1,0,1,0,0,1,0,0,0,2,1,5,1
"IGFL3",0,0,2,1,0,0,0,0,0,1,18,3,0,0,4,0,1,3,2,13
"GOLGA8M",0,5,4,2,1,0,5,7,0,1,5,12,0,5,6,123,5,3,8,10
"ZNF177",1,0,0,3,0,0,0,1,1,0,6,5,1,0,5,0,1,1,2,2
"RTL6",3826,1584,3036,3907,1208,751,1486,2619,1797,1498,3498,5967,747,517,940,6628,5152,1160,407,1826
"DPYD",5233,3026,3867,5413,2676,2006,2299,4879,3025,2983,3287,5949,2251,100,352,4325,776,2068,5232,2459
"S100A16",6558,2382,5235,4996,2328,1645,2066,4192,3284,6166,16828,11251,2145,2819,1987,2098,63735,10107,384,2991
"AC123904.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PTAR1",2026,1725,1906,2725,1760,1223,1461,3419,1268,1756,3020,3697,1889,977,935,4058,3919,2258,4006,2147
"CC2D2B",39,26,33,34,56,33,31,27,27,12,21,22,15,8,38,6,15,30,359,22
"RNASE9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"TSPY7P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAXO2",35,95,120,1004,418,26,95,1270,170,95,367,51,11,63,358,59,54,187,17,522
"LINC00319",0,0,0,1,0,0,2,2,0,0,5,4,0,0,14,5,6,1,2,0
"H1-9P",2,2,4,8,3,1,4,4,2,0,1,3,0,1,3,1,1,6,1,6
"OR7E90P",0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"RHCE",34,12,6,17,8,5,4,24,20,4,38,106,29,600,44,36,24,58,5,72
"C2orf80",1,0,0,1,0,0,0,1,0,4,0,3,0,0,43,1,1,1,3,2
"IDO2",13,11,7,20,43,6,6,14,29,6,16,10,30,4,39,14,4,50,44,45
"PARVB",3290,1094,1820,2558,904,579,1104,1175,1544,1732,831,960,370,113,1247,336,1652,933,251,446
"TEKT4P2",151,47,40,64,27,25,23,202,53,67,65,427,63,7,236,74,91,23,6,50
"SLC4A5",103,85,41,122,81,46,42,164,55,20,98,118,28,62,48,481,33,36,82,51
"UROS",1738,861,1637,1656,743,370,704,1741,1792,1698,2226,1580,881,3310,2894,3207,2993,1691,514,1135
"OR56A5",0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0
"CYP51A1-AS1",2,4,6,7,7,0,2,3,6,6,3,14,4,6,41,1,6,2,13,4
"KRTAP24-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"ZDHHC9",13254,2519,3646,3352,2778,1665,1871,4255,2729,2746,8967,8778,6188,5335,7080,20134,16463,7538,1308,5845
"ZBED6CL",846,520,741,1033,325,136,506,984,710,377,1509,520,396,506,670,1558,1747,1129,622,488
"QRFP",23,15,18,64,15,15,11,56,8,12,16,28,2,8,44,107,13,14,10,16
"OR13D3P",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
"DUSP29",1,0,1,1,0,0,0,1,1,0,0,6,0,0,0,1,1,0,2,0
"SMIM15",2297,1301,1647,2353,1291,900,1083,2914,1411,1949,2869,4373,1661,656,2761,4366,1178,2607,1969,2612
"OSTN",0,5,0,23,2,2,7,20,4,32,1,1,2,0,0,0,0,1,21,4
"VWC2",61,15,15,202,16,7,20,69,7,78,19,16,14,1,5,1,0,11,19,2
"FAM221A",233,160,173,268,235,140,147,448,176,162,482,560,218,253,372,653,1241,309,378,975
"TMEM120B",1033,447,635,799,446,198,353,1125,659,373,1175,2448,277,500,1114,2123,1502,579,247,810
"FSIP2",21,11,24,63,20,10,17,17,12,7,78,225,143,95,2416,187,27,204,1376,16
"RBM34",40,16,29,35,29,9,21,57,21,13,40,98,27,38,57,69,73,49,116,21
"NOXA1",342,136,184,313,164,84,106,386,157,179,910,1127,59,493,1585,4260,2914,1240,32,288
"TBC1D3P2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
"TMEM198",85,48,105,161,48,17,48,80,119,150,77,139,22,46,292,486,214,113,13,65
"BCL2L15",85,23,53,96,35,25,30,119,49,51,601,1251,404,61,43,242,270,2112,696,145
"FZD9",17,3,10,25,15,2,9,34,6,6,22,29,24,80,43,127,200,2,2,5
"TMSB4XP2",8,1,15,16,4,6,8,6,27,17,8,21,5,13,3,4,16,8,8,10
"SPRED3",76,3,69,60,16,8,9,35,23,22,257,198,98,6,143,53,1821,162,175,17
"OPTC",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,0,9,0
"PLET1",0,0,0,0,2,0,0,1,1,0,2,4,0,1,1,3,4,2,49,1
"ADRB3",15,6,8,12,9,2,3,13,16,8,4,11,0,1,1,1,2,1,14,20
"SKOR1",18,27,14,34,10,11,15,33,10,12,27,23,2,0,15,4,7,26,5,33
"CATSPER4",1,0,0,0,1,1,0,2,1,1,14,1,0,2,3,2,1,8,2,0
"PRELP",7146,9050,28843,22073,5896,5129,11473,9368,5560,7687,4534,3954,813,136,1659,1151,141,2403,155,4858
"PLA2G2E",0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0
"ZNF548",548,437,607,880,563,292,340,877,408,430,1162,873,378,319,569,1004,1083,455,498,510
"MTF1",1877,1217,1439,1951,1115,749,849,1940,1060,532,1580,2516,893,407,666,4435,1408,1399,845,1620
"TMCO2",7,2,7,5,2,4,3,35,8,3,3,3,0,0,1,0,1,0,4,0
"ZNF322P1",0,1,1,1,1,6,1,3,0,2,16,2,8,0,0,6,11,1,1,0
"SHISA6",13,27,24,51,17,1,27,18,15,14,3,23,0,5,44,16,3,11,15,22
"TMEM201",888,438,880,993,323,137,406,796,716,476,1485,1776,122,341,750,2078,1546,515,129,809
"NHLRC3",2103,1119,1397,2195,1180,869,807,2641,1282,1337,2755,2894,910,710,1937,1886,4309,1726,1623,1192
